rec_model,dataset,output
BPR-MF,mind_small_dev,1
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,1
BPR-MF,mind_small_dev,1
BPR-MF,mind_small_dev,1
BPR-MF,mind_small_dev,1
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,mind_small_dev,2
BPR-MF,steam,2
BPR-MF,steam,2
BPR-MF,steam,1
BPR-MF,steam,2
BPR-MF,steam,2
BPR-MF,steam,1
BPR-MF,steam,1
BPR-MF,steam,1
BPR-MF,steam,2
BPR-MF,steam,2
BPR-MF,steam,2
BPR-MF,steam,1
BPR-MF,steam,2
BPR-MF,steam,2
BPR-MF,steam,1
BPR-MF,steam,2
BPR-MF,steam,2
BPR-MF,steam,2
BPR-MF,steam,1
BPR-MF,steam,1
BPR-MF,steam,2
BPR-MF,steam,2
BPR-MF,steam,1
BPR-MF,steam,1
BPR-MF,steam,1
BPR-MF,steam,2
BPR-MF,steam,1
BPR-MF,steam,1
BPR-MF,steam,2
BPR-MF,steam,1
BPR-MF,steam,2
BPR-MF,steam,2
BPR-MF,steam,2
BPR-MF,steam,2
BPR-MF,steam,1
BPR-MF,steam,2
BPR-MF,steam,2
BPR-MF,steam,1
BPR-MF,steam,2
BPR-MF,steam,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,1
Sasrec,ml-100k,2
Sasrec,ml-100k,1
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,1
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,1
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,1
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,1
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,ml-100k,2
Sasrec,mind_small_dev,1
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,1
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,1
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,1
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,1
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,1
Sasrec,mind_small_dev,1
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,1
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,1
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,1
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,1
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,1
Sasrec,mind_small_dev,1
Sasrec,mind_small_dev,2
Sasrec,mind_small_dev,1
Sasrec,steam,2
Sasrec,steam,2
Sasrec,steam,1
Sasrec,steam,2
Sasrec,steam,2
Sasrec,steam,1
Sasrec,steam,1
Sasrec,steam,1
Sasrec,steam,2
Sasrec,steam,2
Sasrec,steam,2
Sasrec,steam,2
Sasrec,steam,1
Sasrec,steam,2
Sasrec,steam,1
Sasrec,steam,1
Sasrec,steam,2
Sasrec,steam,1
Sasrec,steam,1
Sasrec,steam,2
Sasrec,steam,1
Sasrec,steam,1
Sasrec,steam,2
Sasrec,steam,1
Sasrec,steam,2
Sasrec,steam,1
Sasrec,steam,2
Sasrec,steam,1
Sasrec,steam,2
Sasrec,steam,2
Sasrec,steam,2
Sasrec,steam,2
Sasrec,steam,2
Sasrec,steam,2
Sasrec,steam,2
Sasrec,steam,2
Sasrec,steam,1
Sasrec,steam,2
Sasrec,steam,1
Sasrec,steam,1
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,1
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,1
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,1
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,ml-100k,2
LightGCN,mind_small_dev,1
LightGCN,mind_small_dev,1
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,1
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,1
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,1
LightGCN,mind_small_dev,1
LightGCN,mind_small_dev,1
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,1
LightGCN,mind_small_dev,1
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,1
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,1
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,1
LightGCN,mind_small_dev,1
LightGCN,mind_small_dev,2
LightGCN,mind_small_dev,1
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,1
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,1
LightGCN,steam,1
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,1
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,1
LightGCN,steam,1
LightGCN,steam,1
LightGCN,steam,2
LightGCN,steam,1
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,1
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
LightGCN,steam,2
